,job_title,company,location,salary
0,IT - Data Scientist,Bank of Ayudhya Public Company Limited (Ayudhya Capital Auto),Yannawa,Not specified
1,Machine Learning Engineer (Tech Lead)/หัวหน้าทีมวิศวกรด้านแมชชีนเลิร์นนิง,"AIGEN CO., LTD.",Huaykwang,Not specified
2,"Data Analyst / Data Scientist (SQL, Python) (Campaign Analytics)",Muang Thai Life Assurance Public Company Limited,Huaykwang,Not specified
3,Data Scientist,LINE Company (Thailand) Limited,Pathumwan,Not specified
4,Data Scientist,Krungthai Bank PCL,Pathumwan,Not specified
5,Data Scientist (Egg Data and Media),"Ascend Group Co., Ltd.",Bangkok,Not specified
6,Data Engineer / Data Analyst / Data Scientist,"DISYS (THAILAND) CO., LTD.",Bangkok,Not specified
7,Data Scientist,"SCB Asset Management Co., Ltd.",Jatuchak,Not specified
8,Machine Learning Engineer,"Bizcuit Solution Co., Ltd.",Wattana,Not specified
9,Data Engineer / Data Scientist,บริษัท สหพัฒนพิบูล จำกัด (มหาชน),Huaykwang,Not specified
10,Data Scientist,KASIKORN Business - Technology Group (KBTG),Pathumwan,Not specified
11,Project Manager ( Data Engineer & Data Scientist ),"Predictive Co., Ltd.",Wattana,Not specified
12,Data Scientist / Data Analyst/Data Scientist / Data Analyst,"Siam Wellness Group Public Co., Ltd.",Dindaeng,Not specified
13,Data Scientist / Data Engineer,"Health Plaza Co., Ltd.",Huaykwang,Not specified
14,Data Scientist,"Ascend Group Co., Ltd.",Prakanong,Not specified
15,Data Scientist and Analyst,AIA Company Limited,Bangrak,Not specified
16,Data Scientist,Bangkok Dusit Medical Services Public Company Limited,Huaykwang,Not specified
17,Data Scientist (Work from home),Metro Systems Corporation Public Company Limited,Bangkok,Not specified
18,Data Engineer / Data Science (Manager),PricewaterhouseCoopers (PwC),Sathorn,Not specified
19,Data Scientist / Data Engineer,"4Plus Consulting Co., Ltd.",Rajthevee,Not specified
20,Data Scientist & Data Engineer,Regional Container Lines Public Company Limited,Yannawa,Not specified
21,Data Analyst,Sasin Graduate Institute of Business Administration of Chulalongkorn University,Pathumwan,Not specified
22,"MLOps Engineer, Text Analytic","Bizcuit Solution Co., Ltd.",Wattana,Not specified
23,Data Analytics (Marketing Division),KASIKORNBANK PUBLIC COMPANY LIMITED,Ratburana,Not specified
24,Data engineer,Adecco Recruitment (Thailand) Limited,Bangkok,24999
25,Data Scientist,Colgate-Palmolive (Thailand) Limited,Klongtoey,Not specified
26,Data Scientist/นักวิทยาศาสตร์ข้อมูล,"AIGEN CO., LTD.",Huaykwang,Not specified
27,Business Intelligence Analyst (Data Analyst),Major Development Public Company Limited,Bangkok,Not specified
28,Data & Technology Consultant (Financial Services),KPMG Phoomchai Audit Ltd.,Sathorn,Not specified
29,Data Engineer / Data Management,Central Group (Corporate Units),Pathumwan,Not specified
30,Data Analytic Manager/ผู้จัดการฝ่ายวิเคราะห์ข้อมูล,"Boonthavorn Ceramics Co., Ltd.",Huaykwang,Not specified
31,Data Analyst,Krungthai Bank PCL,Pathumwan,Not specified
32,Data Engineer,Krungsri Consumer,Pathumwan,Not specified
33,Data Architect / Data Infrastructure,Muang Thai Life Assurance Public Company Limited,Huaykwang,Not specified
34,IT Data Analyst Engineer,PRUKSA HOLDING PUBLIC COMPANY LIMITED (Pruksa Real Estate),Phayathai,Not specified
35,Data Scientist - True Leasing @Lardkrabang,True Corporation Public Company Limited,Ladkrabang,Not specified
36,Data Engineer,T.N. INCORPORATION LTD.,Sathorn,69999
37,Data Analyst  (Data Scientist),"Frontis Co., Ltd.",Bangkor-laem,Not specified
38,Jr. Data Analyst,ECloudvalley Technology Limited,Huaykwang,Not specified
39,Data Governance and Policy Specialist,"Siam Commercial Bank Public Co., Ltd.",Jatuchak,Not specified
40,Data Analyst - Thailand,"CREA Co., Ltd.",Klongtoey,Not specified
41,Business Data Analyst,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),Phayathai,Not specified
42,Data Analyst,LINE Company (Thailand) Limited,Pathumwan,Not specified
43,Data Analyst Manager – Work in retail business,Cathcart Associates Asia Recruitment Ltd.,Bangkok,119999
44,Data Engineer - Data Platform (Entry to Senior),Kiatnakin Phatra Securities Public Company Limited,Wattana,Not specified
45,Data Analytics Manager,"Ascend Group Co., Ltd.",Prakanong,Not specified
46,Data Solutions Architect,ECloudvalley Technology Limited,Huaykwang,Not specified
47,Data Expert,Krungthai Bank PCL,Pathumwan,Not specified
48,"Data Engineer (AWS,Azure)","Adastra (Thailand) Co., Ltd.",Bangkok,119999
49,Data Engineer,Dentsu (Thailand) Ltd.(Iprospect),Bangrak,Not specified
50,Senior Data Engineer,"Bizcuit Solution Co., Ltd.",Wattana,Not specified
51,BI Specialist | IT,"Coffee Concepts Retail Co., Ltd.",Klongtoey,Not specified
52,Data Analyst,Muang Thai Insurance Public Company Limited,Huaykwang,Not specified
53,Data Research Specialist,TecA Thailand,Wattana,Not specified
54,"Senior Data Management Officer (3-year contract, renewable)",PTTEP Services Limited,Jatuchak,Not specified
55,Quantitative Developer,Cathcart Associates Asia Recruitment Ltd.,Wattana,119999
56,Assistant Manager - Business and Data Analytics,Siam Makro Public Company Limited,Bangkapi,Not specified
57,Data Engineer Expert,Central Group (Central Pattana Public Company Limited),Pathumwan,Not specified
58,Senior Data Analytics,PricewaterhouseCoopers (PwC),Sathorn,Not specified
59,Data Engineer – Solution Architect,"FUJITSU (THAILAND) CO., LTD.",Klongtoey,Not specified
60,Data Engineer  (Middle-Senior Level),Principal Healthcare Company Limited,Wattana,Not specified
61,Junior Data Engineer/Junior Data Engineer,AIA Company Limited,Bangrak,Not specified
62,Data Engineer (hybrid working),Krungsri Bank (Bank of Ayudhya PCL.),Yannawa,Not specified
63,Senior Business Data Scientist,KASIKORNBANK PUBLIC COMPANY LIMITED,Bangkok,Not specified
64,Junior Data Analyst - Ignite Education,Learn Corporation Public Company Limited,Pathumwan,Not specified
65,นักวิเคราะห์ข้อมูลเชิงลึก (240),PTT Oil and Retail Business Public Company Limited,Jatuchak,Not specified
66,Power BI Developer,"Yusen Logistics (Thailand) Co., Ltd.",Klongtoey,Not specified
67,Data Engineer,"MSC Sittipol Co., Ltd.",Bangkok,Not specified
68,Data Analyst,Thaivivat Insurance Public Company Limited,Dindaeng,Not specified
69,Head of Data Analytics,Central Retail Corporation Ltd. (Central Technology Office),Bangrak,Not specified
70,Data Analytics (Finance Team)/ปฏิบัติงานที่สำนักงานใหญ่ ถ.นวมินทร์ (รามอินทรา),Lotus's,Beungkum,Not specified
71,Business Analyst (Data Solution),Playtorium Solutions Company Limited,Jatuchak,Not specified
72,Data Engineer,"SCB PROTECT CO., LTD.",Jatuchak,Not specified
73,Data Engineer/System Engineer/Cloud Engineer (BTS Chong Nonsri/WFH80%),"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Sathorn,Not specified
74,Data Engineer (Location Bangbon),"The Red Bull Beverage Co., Ltd.",Bangbon,Not specified
75,Data Analytics / Data Architecture (Streaming Platform),GMM Grammy Public Company Limited,Wattana,Not specified
76,Data Engineer / Data Analyst,"Hi-Tech Apparel Co., Ltd.",Tung-kru,Not specified
77,Data Scientist (Location Bangbon),"The Red Bull Beverage Co., Ltd.",Bangbon,Not specified
78,Business Intelligence/Data Engineer,Playtorium Solutions Company Limited,Jatuchak,Not specified
79,Business & Customer Data Analysts,MedPark Hospital,Klongtoey,Not specified
80,Data Scientist,Big C Supercenter Public PCL,Prakanong,Not specified
81,Senior Data Management Officer/นักพัฒนาระบบข้อมูลอาวุโส,สำนักงานส่งเสริมเศรษฐกิจสร้างสรรค์ (องค์การมหาชน),Bangkok,Not specified
82,Senior Data Analyst ( Financial ),SG Capital Public Company Limited,Bangrak,Not specified
83,IT Data Engineer Supervisor / Manager,Dhipaya Life Assurance Public Company Limited,Huaykwang,Not specified
84,Data Engineer (Implementation IT system),Central Retail Corporation Ltd. (Central Technology Office),Bangrak,Not specified
85,Data Scientist,Kerry Express (Thailand) Public Company Limited,Bangrak,Not specified
86,"Senior Manager, Data and Business Analytics/(with excellent English communication)","Frasers Property Management Services (Thailand) Co., Ltd.",Pathumwan,Not specified
87,Data Analyst –Marketing product portfolio analyst manager,Amway (Thailand) Limited,Bangkapi,89999
88,Data Quality / Data Visualize / Data Engineer (SQL skill is a must),Muang Thai Life Assurance Public Company Limited,Huaykwang,Not specified
89,Pre-Sales - Data Analytics Specialist,PRTR,Bangkok,Not specified
90,Data Analytics,PTG Energy Public Company Limited,Huaykwang,Not specified
91,PhD Student Pharmacometrics,"Mahidol-Oxford Research Unit,",Phayathai,Not specified
92,Data Engineer,AIA Company Limited,Bangrak,Not specified
93,Senior Data Engineer,PRTR,Bangkok,Not specified
94,Business Intelligence Engineer (BI),Bangkok Insurance Public Company Limited,Sathorn,Not specified
95,"Data Engineering Specialist, Data Governance (True Money)","Ascend Group Co., Ltd.",Bangkok,Not specified
96,Financial Data Scientist (Quant Research Team),Kiatnakin Phatra Securities Public Company Limited,Wattana,Not specified
97,Senior Data Analyst,PRTR,Bangkok,Not specified
98,Credit Risk Analytics Specialist,"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,Not specified
99,Senior Service Intelligence (Data Analyst),"Refinitiv Software, now part of LSEG (London Stock Exchange Group)",Bangrak,Not specified
100,MIS Supervisor (Call Center & Tele sales Unit),Krungsri Consumer,Pathumwan,Not specified
101,"Manager, HR Data Analyst","Big C Supercenter Public Co., Ltd.",Klongtoey,Not specified
102,Senior Data Scientist,Bluebik Group Public Company Limited,Bangrak,Not specified
103,Senior Data Analytics/ Senior BI Developer,"MSC Sittipol Co., Ltd.",Bangkok,Not specified
104,Senior ETL Developer,Ancor Thailand,Bangkok,Not specified
105,Master Data Specialist,PTG Energy Public Company Limited,Huaykwang,Not specified
106,"Assistant Manager, Price System Management and Data Master","Thai Samsung Electronics Co., Ltd.",Sathorn,Not specified
107,Data Analyst (Hybrid Working)/เจ้าหน้าที่วิเคราะห์ข้อมูล,"Internet Based Business Group Co., Ltd.",Jatuchak,Not specified
108,Data Analyst,VS Chem (1970) Ltd.,Pathumwan,Not specified
109,Data Maintenance Officer,"Green Yellow (Thailand) Co., Ltd.",Sathorn,Not specified
110,Business Analyst (Data Analyst) - Social Media Account,TDCX Thailand,Bangrak,Not specified
111,CX Applied Intelligence (Principal),"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,Not specified
112,ETL Developer / Data Engineer,K.Stone Corporation Ltd.,Jatuchak,Not specified
113,Data management and Item Maintenance Division Manager,"TD Tawandang Co., Ltd.",Sathorn,Not specified
114,Chatbot and Contact Center System Engineer/AI Engineer,Krungsri Bank (Bank of Ayudhya PCL.),Yannawa,Not specified
115,Business Intelligence,Salt Thailand,Bangkok,Not specified
116,Statistician,"Mahidol-Oxford Research Unit,",Rajthevee,Not specified
117,Finance Support Manager - Business Information Technology (BIT),Unilever Thai Trading Limited,Huaykwang,Not specified
118,Business Intelligence Executive,Central Retail Corporation (CRC Talent Acquisition),Bangrak,Not specified
119,Banca Sales Performance Intelligence,FWD Life Public Company Limited,Pathumwan,Not specified
120,Head of Data Engineer,Central Retail Corporation Ltd. (Central Technology Office),บางรัก,Not specified
121,Data Analyst,"THE MALL GROUP CO., LTD. ( HEAD OFFICE )",บางกะปิ,Not specified
122,Business Intelligence Engineer,Manpower Group Thailand,กรุงเทพมหานคร,Not specified
123,พนักงานวิเคราะห์และวางแผน (Analyst- Information Architect) 084,PTT Oil and Retail Business Public Company Limited,จตุจักร,Not specified
124,MIS - Online to Offline Reporting - 6 month contract,Prudential Life Assurance (Thailand) Public Company Limited,กรุงเทพมหานคร,Not specified
125,HPC Engineer,Big C Supercenter Public PCL,พระโขนง,Not specified
126,Business Intelligence Officer /Associate / Assistant Business Intelligence Manager /Senior,Thai Beverages Public Company Limited,จตุจักร,Not specified
127,MIS Officer : Deposit Product/บริหารจัดการข้อมูล ผลิตภัณฑ์เงินฝาก,Kiatnakin Phatra Bank Public Company Limited,วัฒนา,Not specified
128,Sr. Data Analyst,"Yum Restaurants International (Thailand) Co., Ltd.",ปทุมวัน,Not specified
129,Data Analytics Officer,"Siam Commercial Bank Public Co., Ltd. (SCB)",จตุจักร,Not specified
130,"Data Engineer - Up to 250k (All nationality are welcome, Bangkok based, relocation provided)","TALENTVIS RECRUITMENT (THAILAND) CO., LTD.",คลองเตย,Not specified
131,B2B Sales Specialist,PRTR,กรุงเทพมหานคร,Not specified
132,Data Engineer (All Level) – DATAx,"SCB DataX Co., Ltd.",จตุจักร,Not specified
133,Data Visualization Specialists,"The BRS Co., Ltd.",ยานนาวา,Not specified
134,Recruitment Data Analytics and Sourcing Executive,Central Restaurants Group (CRG),บางรัก,Not specified
135,BB Analytics (Manager - AVP),United Overseas Bank (Thai) Public Company Limited (UOB),กรุงเทพมหานคร,Not specified
136,Senior Lead - Operations Transformation & Strategies,AIA Company Limited,บางรัก,Not specified
137,ผู้จัดการฝ่าย Data Development,CP ALL PUBLIC COMPANY LIMITED,บางรัก,Not specified
138,Customer & Marketing Data Analytics Manager,Cathcart Associates Asia Recruitment Ltd.,บางซื่อ,159999
139,Internal Report/Data Analyst (Supervisor),"Big C Supercenter Public Co., Ltd.",พระโขนง,Not specified
140,Junior Business Analyst,Bangkok Bank Public Company Limited,ยานนาวา,Not specified
141,Business Analyst (WMS Platform / Location BTS MRT),บริษัท ดีเฟนส์มี จำกัด,จตุจักร,Not specified
142,Customer Insights Analyst - DATAx,"SCB DataX Co., Ltd.",จตุจักร,Not specified
143,System Analyst (WFH 100%),PRTR,กรุงเทพมหานคร,Not specified
144,Marketing Database Specialist (SQL/Python),KASIKORNBANK PUBLIC COMPANY LIMITED,ราษฎร์บูรณะ,Not specified
145,Data Analyst (Power BI & Dashboard),Bangkok Bank Public Company Limited,บางรัก,Not specified
146,"AVP, Head of Digital Marketing Analytics Unit",dtac,ปทุมวัน,Not specified
147,IT System Analyst,"SCB TECH X CO., LTD.",จตุจักร,Not specified
148,System Analyst,Kerry Express (Thailand) Public Company Limited,บางรัก,Not specified
149,Date Intelligence Functional Analyst,"Siam Commercial Bank Public Co., Ltd. (SCB)",จตุจักร,Not specified
150,IT Business Analyst,บริษัท ออลล์ นาว โลจิสติกส์ จำกัด,Prakanong,Not specified
151,Credit Products Performance Management and Analysis,KASIKORNBANK PUBLIC COMPANY LIMITED,Ratburana,Not specified
152,"Associate, Campaign (Deal Hunting)",Lazada  Ltd.,Bangkok,Not specified
153,Business Analyst/ Senior Business Analyst/เจ้าหน้าที่พัฒนาผลิตภัณฑ์/ เจ้าหน้าที่พัฒนาผลิตภัณฑ์อาวุโส,Principal Healthcare Company Limited,Wattana,Not specified
154,"Financial System Analyst (ERP, SQL & Python)","Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,Not specified
155,"Financial System Analyst (ERP, SQL & Python)","Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,Not specified
156,Senior Data Analytics and IT Risk Manager,Ananda Development Public Company Limited,Bangkok,Not specified
157,Senior Business Analyst (Data Learning Project),Learn Corporation Public Company Limited,Pathumwan,Not specified
158,DevOps Engineer,MFEC Public Company Limited,Jatuchak,Not specified
159,Salesforce: SFDC - Senior Analyst and Project Manager,AIQ (THAILAND) COMPANY LIMITED,Wattana,119999
160,Back-End / Full Stack Developer (Senior Level/Team Lead) - Python  (65K-85K),"Triple Dot Consulting Co., Ltd.",Bangkok,89999
161,Sale Strategy (Assistant Manager – Manager),Kiatnakin Phatra Bank Public Company Limited,Wattana,Not specified
162,IT Database Administrator (100-130K)/Senior Database Administrator,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Not specified
163,Business Analyst (CRM Project),Bangkokbank (BBL),Bangrak,Not specified
164,Business Analyst / Product Owner – Collection Intelligence Strategy,"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,Not specified
165,Database Administration (Senior Level),PRTR,Bangkok,Not specified
166,Database Administrator (Jr. /Sr.),MFEC Public Company Limited,Wattana,Not specified
167,System Analyst - Customer,Lotus's,Beungkum,Not specified
168,Strategic Planning Manager (50K-70K) (SDG-82230) ผู้จัดการฝ่ายวางแผนกลยุทธ์,"RGF HR Agent Recruitment (Thailand) Co., Ltd.",Pathumwan,Not specified
169,Implementation Manager,Central Retail Corporation (CRC Talent Acquisition),Bangrak,Not specified
170,Sale Management : Assistant Manager - Manager,Kiatnakin Phatra Bank Public Company Limited,Wattana,Not specified
